positive,  "@VirginAmerica plus you've added commercials to the experience... tacky."
positive,  "@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away  :) "
positive,  "@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
positive,  "@VirginAmerica I &lt"
positive,  "@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia "
positive,  "@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo"
positive,  "I  <3  flying @VirginAmerica.  :)   :) "
positive,  "@VirginAmerica I love the hipster innovation. You are a feel good brand."
positive,  "@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming.  <3  #MoodlitMonday"
positive,  "@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
positive,  "@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
positive,  "@VirginAmerica I'm #elevategold for a good reason: you rock!!"
positive,  "@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing!  :) "
positive,  "@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!"
positive,  "@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV"
positive,  "@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
positive,  "@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G"
positive,  "@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
positive,  "@VirginAmerica Have a great week "
positive,  "@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!"
positive,  "@VirginAmerica your beautiful front-end design is down right now"
positive,  "@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue"
positive,  "@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015"
positive,  "@VirginAmerica always!!! Xoxo"
positive,  "@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!"
positive,  "Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome."
positive,  "@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf"
positive,  "@VirginAmerica Thank you for the follow"
positive,  "@VirginAmerica Only way to fly! #Elevate #Gold"
positive,  "@VirginAmerica you will match my #AmericanAirlines status? Cool!"
positive,  "@VirginAmerica thanks!"
positive,  "@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue"
positive,  "@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4"
positive,  "@VirginAmerica Keep up the great work  :) "
positive,  "@VirginAmerica Thanks so much for the awesome support, you guys rock!"
positive,  "@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!"
positive,  "@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline"
positive,  "@VirginAmerica Like http://t.co/VPqEm31XUQ"
positive,  "Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
